 N  h  Regra do trapézio  Regra do Simpson  Regra de Bode 
           4  0.25000000000000000        3.4790042972794033E-003   3.4468033767692807E-005   1.9397711135404894E-006
           8  0.12500000000000000        8.6813783580505510E-004   2.1509846863942972E-006   3.4852523367323585E-009
          16   6.2500000000000000E-002   2.1691600305559500E-004   1.5794119431755682E-007   2.5071628162454118E-008
          32   3.1250000000000000E-002   5.4203659444362895E-005   3.3788425973790837E-008   2.5511574713865670E-008
          64   1.5625000000000000E-002   1.3531388386167631E-005   2.6035299721671734E-008   2.5518424873194334E-008
         128   7.8125000000000000E-003   3.3636839744666247E-006   2.5550829813036913E-008   2.5518531759916030E-008
         256   3.9062500000000000E-003   8.2178057964066298E-007   2.5520551810709335E-008   2.5518533425250567E-008
         512   1.9531250000000000E-003   1.8630615006287599E-007   2.5518659602097316E-008   2.5518533258717113E-008
        1024   9.7656250000000000E-004   2.7437631333615542E-008   2.5518541585389798E-008   2.5518533508517294E-008
        2048   4.8828125000000000E-004   1.2279492839217809E-008   2.5518533758317474E-008   2.5518533702806323E-008
        4096   2.4414062500000000E-004   2.2208773292620165E-008   2.5518533397494991E-008   2.5518532953405781E-008
